时间轴	源量程	源程反应性	中间量程	中间反应性	功率量程	功率反应性	硼浓度PPM	D棒位	备注说明
标志->	0	7	1	7	2	7	5	3	3
19.900000	15.263507	161.795965	1.526351E-13	161.795965	4.388258E-14	161.795965	1.000000	145.527523	NaN
20.000000	15.370256	161.795965	1.537026E-13	161.795965	4.418948E-14	161.795965	1.000000	145.527523	NaN
20.100000	15.477236	161.795965	1.547724E-13	161.795965	4.449705E-14	161.795965	1.000000	145.527523	NaN
20.200000	15.584307	161.795965	1.558431E-13	161.795965	4.480488E-14	161.795965	1.000000	145.527523	NaN
20.300000	15.691597	161.795965	1.569160E-13	161.795965	4.511334E-14	161.795965	1.000000	145.527523	NaN
20.400000	15.799034	161.795965	1.579903E-13	161.795965	4.542222E-14	161.795965	1.000000	145.527523	NaN
20.500000	15.906691	161.795965	1.590669E-13	161.795965	4.573174E-14	161.795965	1.000000	145.527523	NaN
20.600000	16.014535	161.795965	1.601453E-13	161.795965	4.604179E-14	161.795965	1.000000	145.527523	NaN
20.700000	16.122608	161.795965	1.612261E-13	161.795965	4.635250E-14	161.795965	1.000000	145.527523	NaN
20.800000	16.230897	161.795965	1.623090E-13	161.795965	4.666383E-14	161.795965	1.000000	145.527523	NaN
20.900000	16.339429	161.795965	1.633943E-13	161.795965	4.697586E-14	161.795965	1.000000	145.527523	NaN
21.000000	16.448199	161.795965	1.644820E-13	161.795965	4.728857E-14	161.795965	1.000000	145.527523	NaN
21.100000	16.557226	161.795965	1.655723E-13	161.795965	4.760202E-14	161.795965	1.000000	145.527523	NaN
21.200000	16.666510	161.795965	1.666651E-13	161.795965	4.791622E-14	161.795965	1.000000	145.527523	NaN
21.300000	16.776065	161.795965	1.677607E-13	161.795965	4.823119E-14	161.795965	1.000000	145.527523	NaN
21.400000	16.885895	161.795965	1.688589E-13	161.795965	4.854695E-14	161.795965	1.000000	145.527523	NaN
21.500000	16.996008	161.795965	1.699601E-13	161.795965	4.886352E-14	161.795965	1.000000	145.527523	NaN
21.600000	17.106410	161.795965	1.710641E-13	161.795965	4.918093E-14	161.795965	1.000000	145.527523	NaN
21.700000	17.217110	161.795965	1.721711E-13	161.795965	4.949919E-14	161.795965	1.000000	145.527523	NaN
21.800000	17.328112	161.795965	1.732811E-13	161.795965	4.981832E-14	161.795965	1.000000	145.527523	NaN
21.900000	17.439423	161.795965	1.743942E-13	161.795965	5.013834E-14	161.795965	1.000000	145.527523	NaN
22.000000	17.551050	161.795965	1.755105E-13	161.795965	5.045927E-14	161.795965	1.000000	145.527523	NaN
22.100000	17.662997	161.795965	1.766300E-13	161.795965	5.078112E-14	161.795965	1.000000	145.527523	NaN
22.200000	17.775271	161.795965	1.777527E-13	161.795965	5.110390E-14	161.795965	1.000000	145.527523	NaN
22.300000	17.887878	161.795965	1.788788E-13	161.795965	5.142765E-14	161.795965	1.000000	145.527523	NaN
22.400000	18.000822	161.795965	1.800082E-13	161.795965	5.175236E-14	161.795965	1.000000	145.527523	NaN
22.500000	18.114109	161.795965	1.811411E-13	161.795965	5.207806E-14	161.795965	1.000000	145.527523	NaN
22.600000	18.227744	161.795965	1.822774E-13	161.795965	5.240476E-14	161.795965	1.000000	145.527523	NaN
22.700000	18.341733	161.795965	1.834173E-13	161.795965	5.273248E-14	161.795965	1.000000	145.527523	NaN
22.800000	18.456081	161.795965	1.845608E-13	161.795965	5.306123E-14	161.795965	1.000000	145.527523	NaN
22.900000	18.570792	161.795965	1.857079E-13	161.795965	5.339103E-14	161.795965	1.000000	145.527523	NaN
23.000000	18.685871	161.795965	1.868587E-13	161.795965	5.372188E-14	161.795965	1.000000	145.527523	NaN
23.100000	18.801323	161.795965	1.880132E-13	161.795965	5.405380E-14	161.795965	1.000000	145.527523	NaN
23.200000	18.917153	161.795965	1.891715E-13	161.795965	5.438682E-14	161.795965	1.000000	145.527523	NaN
23.300000	19.033366	161.795965	1.903337E-13	161.795965	5.472093E-14	161.795965	1.000000	145.527523	NaN
23.400000	19.149966	161.795965	1.914997E-13	161.795965	5.505615E-14	161.795965	1.000000	145.527523	NaN
23.500000	19.266958	161.795965	1.926696E-13	161.795965	5.539250E-14	161.795965	1.000000	145.527523	NaN
23.600000	19.384347	161.795965	1.938435E-13	161.795965	5.573000E-14	161.795965	1.000000	145.527523	NaN
23.700000	19.502136	161.795965	1.950214E-13	161.795965	5.606864E-14	161.795965	1.000000	145.527523	NaN
23.800000	19.620330	161.795965	1.962033E-13	161.795965	5.640845E-14	161.795965	1.000000	145.527523	NaN
23.900000	19.738935	161.795965	1.973893E-13	161.795965	5.674944E-14	161.795965	1.000000	145.527523	NaN
24.000000	19.857953	161.795965	1.985795E-13	161.795965	5.709162E-14	161.795965	1.000000	145.527523	NaN
24.100000	19.977390	161.795965	1.997739E-13	161.795965	5.743500E-14	161.795965	1.000000	145.527523	NaN
24.200000	20.097251	161.795965	2.009725E-13	161.795965	5.777960E-14	161.795965	1.000000	145.527523	NaN
24.300000	20.217538	161.795965	2.021754E-13	161.795965	5.812542E-14	161.795965	1.000000	145.527523	NaN
24.400000	20.338257	161.795965	2.033826E-13	161.795965	5.847249E-14	161.795965	1.000000	145.527523	NaN
24.500000	20.459411	161.795965	2.045941E-13	161.795965	5.882081E-14	161.795965	1.000000	145.527523	NaN
24.600000	20.581006	161.795965	2.058101E-13	161.795965	5.917039E-14	161.795965	1.000000	145.527523	NaN
